seed,n_clusters,points_per_cluster,dim,cluster_std,ari,nmi,sse,steps,converged,min_inter_token_dist,collapsed,n_tokens,n_steps,temperature,lr,momentum,repulsion,method
0,3,80,6,0.3,0.8683195592286501,0.9048504844691445,123.11303656879105,5,True,0.00035707479701389133,0.0,4,30,1.0,1.0,0.0,0.0,baseline
1,3,80,6,0.3,0.8683195592286501,0.9048504844691445,124.25092879725972,4,True,0.00044910405911925455,0.0,4,30,1.0,1.0,0.0,0.0,baseline
2,3,80,6,0.3,0.868405530011043,0.904889305927475,126.66187933658479,5,True,0.00012268685038804804,0.0,4,30,1.0,1.0,0.0,0.0,baseline
3,3,80,6,0.3,0.868405530011043,0.904889305927475,130.42962799319568,6,True,0.00021530493240678585,0.0,4,30,1.0,1.0,0.0,0.0,baseline
4,3,80,6,0.3,0.8686634135860875,0.9050058388891631,121.31699664361058,5,True,0.00033580528589361076,0.0,4,30,1.0,1.0,0.0,0.0,baseline
5,3,80,6,0.3,0.86969451649677,0.9054730036808499,125.9499054168796,5,True,0.00027203800525118176,0.0,4,30,1.0,1.0,0.0,0.0,baseline
6,3,80,6,0.3,0.868405530011043,0.904889305927475,118.3543625006152,5,True,0.00019780548510710418,0.0,4,30,1.0,1.0,0.0,0.0,baseline
7,3,80,6,0.3,0.8683195592286501,0.9048504844691445,122.45454714937009,5,True,0.00039763241883970075,0.0,4,30,1.0,1.0,0.0,0.0,baseline
8,3,80,6,0.3,0.86909312366145,0.9052002896311651,130.45443211105442,5,True,0.00015569882504149773,0.0,4,30,1.0,1.0,0.0,0.0,baseline
9,3,80,6,0.3,0.868405530011043,0.904889305927475,133.20876068010034,5,True,0.00019275651410736742,0.0,4,30,1.0,1.0,0.0,0.0,baseline
10,3,80,6,0.3,0.8683195592286501,0.9048504844691445,117.79359529528824,5,True,0.00025714497872960203,0.0,4,30,1.0,1.0,0.0,0.0,baseline
11,3,80,6,0.3,0.86969451649677,0.9054730036808499,131.74269981510358,5,True,0.0002992435002265828,0.0,4,30,1.0,1.0,0.0,0.0,baseline
12,3,80,6,0.3,0.868405530011043,0.904889305927475,129.6367403801144,6,True,0.0002785357020123363,0.0,4,30,1.0,1.0,0.0,0.0,baseline
13,3,80,6,0.3,0.868405530011043,0.904889305927475,122.08234676322668,5,True,0.0004189502894561511,0.0,4,30,1.0,1.0,0.0,0.0,baseline
14,3,80,6,0.3,0.86969451649677,0.9054730036808499,132.89354140651565,5,True,0.00042124175904993693,0.0,4,30,1.0,1.0,0.0,0.0,baseline
15,3,80,6,0.3,0.86909312366145,0.9052002896311648,128.66793961297032,6,True,0.00020262917184167624,0.0,4,30,1.0,1.0,0.0,0.0,baseline
16,3,80,6,0.3,0.8686634135860875,0.9050058388891631,129.54644042080798,5,True,0.0003047289016161314,0.0,4,30,1.0,1.0,0.0,0.0,baseline
17,3,80,6,0.3,0.4034651074805316,0.6097256858950479,2542.5707810862104,6,True,7.479153899451308e-05,0.0,4,30,1.0,1.0,0.0,0.0,baseline
